层级1,层级2,层级3,事件,上报时机,相关属性,属性值
首页,,,点击运营banner,点击时,banner id,banner名称
首页,添加设备,,添加设备_点击,点击时,pid,pid
首页,添加设备,,添加设备_蓝牙配对,配对成功时,蓝牙配对方式,"device_discover
qr_code"
首页,添加设备,,添加设备_添加成功,配网成功，设备ID激活时,设备ID,"device ID
Pid"
首页,添加设备,,添加设备_添加失败,添加失败时,失败原因,错误代码
首页,添加设备,,我的设备_点击,点击时,设备ID,device ID
首页,,,我的公仔_点击,点击时,"公仔ID
公仔名称",公仔ID
首页,,,探索_点击公仔,点击时,"公仔ID
公仔名称","公仔ID
公仔名称"
注册,,,账户_注册成功,注册成功时,"账户ID
注册成功时间
注册地区",
注册,,,账户_注册失败,注册失败时,失败原因,错误代码
登录,,,账户_登录成功,登录成功时,"账户ID
登录成功时间
登录成功地区",
家庭,添加成员,,家庭空间_添加成员,添加完成时,成员权限,"owner
admin
normal"
家庭,,,家庭空间_移除成员,移除完成时,"家庭id
user_id",
家庭,,,家庭空间_修改成员权限,修改完成时,成员权限,"owner
admin
normal"
,,,,,,
,,,,,,
